"Your email address","Ihre E-Mail Adresse"
"Search products...","Produkte suchen..."
"All Categories","Alle Kategorien"
"OK","OK"
"Search","Suche"
"There are no search terms available.","Es sind keine Suchbegriffe verfügbar"
"Item was updated successfully.","Der Artikel wurde erfolgreich aktualisiert."
"Item was removed successfully.","Der Artikel wurde erfolgreich entfernt."
"View Cart","Warenkorb ansehen"
"Continue","Weiter"
"Compare Products","Produkte vergleichen"
"My Wishlist","Mein Wunschzettel"
"Views","Ansichten"
"You may like this products","Diese Produkte könnten Ihnen gefallen"
"Upsell Products","Upsell-Produkte"
"Related Products","Verwandte Produkte"
"Sale","Verkauf"
"New","Neu"
"More Choices:","Mehr Auswahlmöglichkeiten:"
"Featured Products","Ausgewählte Produkte"
"Best Sellers","Meistverkaufte Produkte"
"New Products","Neue Produkte"
"Special Products","Besondere Produkte"
"Most Viewed","Meistgesehene"
"Products in Category","Produkte in der Kategorie"
"Countdown Products","Countdown-Produkte"
"Free Shipping","Kostenloser Versand"
"Flat Rate","Pauschalpreis"
"Free","Kostenlos"
"Fixed","Festgelegt"
"Place Order","Bestellung aufgeben"
"The shipping method is missing. Select the shipping method and try again.","Die Versandart ist nicht vorhanden. Bitte wählen Sie eine Versandart und versuchen Sie es erneut."
"items","Artikel"
"item","Artikel"
"",""
"",""
